reaction	lb	ub
R_FACOAL100t2pp	0	1000
R_FACOAL120t2pp	0	1000
R_FACOAL140t2pp	0	1000
R_FACOAL141t2pp	0	1000
R_FACOAL160t2pp	0	1000
R_FACOAL161t2pp	0	1000
R_FACOAL180t2pp	0	1000
R_FACOAL181t2pp	0	1000
R_FACOAL60t2pp	0	1000
R_FACOAL80t2pp	0	1000
R_FADRx	0	1000
R_FADRx2	0	1000
R_FADt	0	1000
R_FADtex	-1000	1000
R_FALDH2	-1000	1000
R_FALDtex	-1000	1000
R_FALDtpp	-1000	1000
R_FALGTHLs	-1000	1000
R_FBA	-1000	1000
R_FBA3	-1000	1000
R_FBP	0	1000
R_FCI	-1000	1000
R_FCLK	0	1000
R_FCLPA	-1000	1000
R_FCLT	0	1000
R_FDH4pp	0	1000
R_FDH5pp	0	1000
R_FDMO	0	1000
R_FDMO2	0	1000
R_FDMO3	0	1000
R_FDMO4	0	1000
R_FDMO6	0	1000
R_FE2abcpp	0	1000
R_FE2t2pp	0	1000
R_FE2t3pp	0	1000
R_FE2tex	-1000	1000
R_FE2tpp	0	1000
R_FE3DCITR5	0	1000
R_FE3DCITabcpp	0	1000
R_FE3DCITexs	0	1000
R_FE3DCITtonex	0	1000
R_FE3DHBZS3R	0	1000
R_FE3DHBZStonex	0	1000
R_FE3HOXR1	0	1000
R_FE3HOXR2	0	1000
R_FE3HOXR3	0	1000
R_FE3HOXUtex	0	1000
R_FE3HOXUtpp	0	1000
R_FE3HOXabcpp	0	1000
R_FE3HOXexs	0	1000
R_FE3HOXtonex	0	1000
R_FE3Ri	0	1000
R_FE3abcpp	0	1000
R_FE3tex	-1000	1000
R_FECRMR1	0	1000
R_FECRMR2	0	1000
R_FECRMR3	0	1000
R_FECRMUtex	0	1000
R_FECRMUtpp	0	1000
R_FECRMabcpp	0	1000
R_FECRMexs	0	1000
R_FECRMtonex	0	1000
R_FEENTERES	0	1000
R_FEENTERR1	0	1000
R_FEENTERR2	0	1000
R_FEENTERR3	0	1000
R_FEENTERR4	0	1000
R_FEENTERabcpp	0	1000
R_FEENTERexs	0	1000
R_FEENTERtex	0	1000
R_FEENTERtonex	0	1000
